commit	val_acc	fall_recall	description	status
b2930da	0.8974	0.9484	Baseline ST-GCN [64,128,256] lr=1e-3 bs=64	keep
exp1	0.9192	0.9097	Smaller model [64,128] bs=128 (fall recall dropped)	discard
exp2	0.8872	0.9290	bs=128 + fall class_weight=2.0 (worse overall, fewer epochs)	discard
09fd115	0.9705	0.9720	Replace ST-GCN with temporal CNN [128,128,256,256] + class_weight fall=1.5	keep
606713d	0.9744	0.9763	lr=2e-3 (faster convergence)	keep
exp5	0.9692	0.9742	lr=3e-3 (too aggressive, both metrics down)	discard
exp6	0.9705	0.9656	dropout=0.2 (both metrics down)	discard
exp7	0.9744	0.9591	5 temporal blocks (fall recall dropped)	discard
exp8	0.9667	0.9634	weight_decay=5e-4 + fall_weight=2.0 (worse)	discard
exp9	0.9603	0.9677	Inline velocity features (overfitting, worse)	discard
exp10	0.9731	0.9613	T_max=100 cosine annealing (slightly worse)	discard
exp11	0.9667	0.9699	label_smoothing=0.05 (worse)	discard
exp12	0.9705	0.9677	max pooling (overfitting, worse)	discard
exp13	0.9731	0.9699	mean+max pooling (overfitting, worse)	discard
exp14	0.9744	0.9613	Hidden FC head with dropout (fall recall dropped)	discard
exp15	0.9564	-	Multi-scale temporal conv (much worse)	discard
exp16	0.9718	0.9677	batch_size=32 (worse)	discard
exp17	0.7522	0.9734	7-class baseline: temporal CNN on 24K samples (NTU+FV data), unstable_gait=0.7%, wandering=44.7%	keep
exp18	0.9269	0.9809	Fix class mapping: no cross-class action overlap, add A042(stagger) for unstable_gait	keep
exp19	0.9499	0.9730	Concat velocity+bone features as input channels (pure PyTorch GPU), 150-dim input	keep
